Datasets,SPE,AdaBoost,Bagging,RUSBoost,BalancedBag,SMOTE_Bag
glass1,0.778,0.737,0.75,0.82,0.783,0.768
wisconsin,0.95,0.95,0.961,0.97,0.969,0.96
pima,0.732,0.645,0.708,0.742,0.737,0.727
yeast1,0.728,0.642,0.672,0.732,0.725,0.704
haberman,0.565,0.458,0.445,0.607,0.572,0.488
vehicle0,0.924,0.894,0.943,0.967,0.961,0.94
ecoli1,0.824,0.8,0.821,0.894,0.882,0.85
new-thyroid1,0.935,0.936,0.942,0.981,0.961,0.951
yeast3,0.871,0.814,0.845,0.925,0.928,0.881
yeast-0-3-5-9_vs_7-8,0.709,0.545,0.449,0.7,0.665,0.6
cleveland-0_vs_4,0.848,0.608,0.556,0.831,0.773,0.692
winequality-red-4,0.708,0.268,0.074,0.701,0.668,0.394
Mean Ranks,3.833,1.417,2.083,5.667,4.75,3.25
