Datasets,SPE,AdaBoost,Bagging,RUSBoost,BalancedBag,SMOTE_Bag
glass1,0.734,0.682,0.788,0.756,0.761,0.764
wisconsin,0.938,0.942,0.947,0.938,0.942,0.937
pima,0.613,0.555,0.668,0.6,0.634,0.626
yeast1,0.53,0.507,0.641,0.513,0.559,0.577
haberman,0.331,0.305,0.34,0.36,0.368,0.315
vehicle0,0.892,0.873,0.921,0.839,0.848,0.895
ecoli1,0.744,0.729,0.811,0.688,0.727,0.766
new-thyroid1,0.915,0.906,0.961,0.914,0.932,0.978
yeast3,0.738,0.707,0.8,0.601,0.663,0.75
yeast-0-3-5-9_vs_7-8,0.222,0.298,0.539,0.205,0.254,0.318
cleveland-0_vs_4,0.57,0.351,0.503,0.454,0.683,0.725
winequality-red-4,0.075,0.097,0.14,0.078,0.108,0.126
Mean Ranks,3.0,2.25,5.5,2.0,3.75,4.5
