Datasets,SPE,AdaBoost,Bagging,RUSBoost,BalancedBag,SMOTE_Bag
glass1,0.737,0.67,0.638,0.802,0.717,0.683
wisconsin,0.935,0.933,0.952,0.975,0.971,0.956
pima,0.711,0.553,0.599,0.763,0.7,0.681
yeast1,0.719,0.521,0.513,0.757,0.672,0.606
haberman,0.513,0.278,0.247,0.618,0.475,0.327
vehicle0,0.884,0.831,0.912,0.995,0.977,0.914
ecoli1,0.751,0.712,0.731,0.929,0.882,0.798
new-thyroid1,0.9,0.9,0.9,0.986,0.943,0.914
yeast3,0.788,0.69,0.733,0.93,0.917,0.807
yeast-0-3-5-9_vs_7-8,0.7,0.34,0.24,0.71,0.56,0.41
cleveland-0_vs_4,0.783,0.467,0.417,0.783,0.65,0.5
winequality-red-4,0.745,0.113,0.028,0.698,0.545,0.168
Mean Ranks,4.042,1.583,1.667,5.875,4.417,3.417
